"DV (0=Trash, 1= Give)","Disadvantageous= -.5, Third=.5","Age (1= younger, 2 = older)",Age,"Sex (1=Male, 2= Female)"
0,-0.5,1,47,1
0,-0.5,1,47,2
0,-0.5,1,48,2
0,-0.5,1,48,1
1,-0.5,1,50,2
1,-0.5,1,50,1
0,0.5,1,50,2
1,0.5,1,50,2
1,0.5,1,50,2
1,-0.5,1,50,2
0,-0.5,1,51,1
0,0.5,1,51,1
0,-0.5,1,52,1
0,-0.5,1,53,1
1,0.5,1,53,2
0,0.5,1,53,2
0,0.5,1,53,1
0,0.5,1,53,2
0,-0.5,1,54,1
0,0.5,1,54,2
0,-0.5,1,54,2
0,-0.5,1,54,2
1,-0.5,1,55,2
0,-0.5,1,55,2
0,-0.5,1,55,2
0,-0.5,1,56,2
1,0.5,1,56,2
0,-0.5,1,57,1
0,0.5,1,57,1
0,0.5,1,59,2
1,0.5,1,60,2
0,-0.5,1,61,2
0,-0.5,1,61,1
0,0.5,1,61,1
1,0.5,1,62,1
1,0.5,1,62,1
0,-0.5,1,63,2
0,0.5,1,63,1
0,0.5,1,63,1
1,-0.5,1,64,2
0,0.5,1,64,2
0,-0.5,1,64,2
0,0.5,1,66,2
0,-0.5,1,66,1
0,-0.5,1,67,1
0,-0.5,1,68,1
0,-0.5,1,70,1
0,-0.5,1,70,1
1,0.5,1,71,2
0,0.5,1,72,1
0,0.5,1,72,1
0,-0.5,1,73,1
0,-0.5,1,73,1
0,0.5,1,73,1
1,0.5,1,73,2
1,0.5,1,73,2
1,-0.5,1,75,1
1,-0.5,1,75,1
0,-0.5,1,76,2
0,-0.5,1,76,2
0,-0.5,1,76,1
0,0.5,1,76,1
0,0.5,1,77,2
0,0.5,1,78,2
0,0.5,1,78,2
0,0.5,1,80,1
0,0.5,1,80,2
0,0.5,1,80,2
0,-0.5,1,80,1
0,-0.5,1,81,2
0,0.5,1,82,2
0,0.5,1,82,1
1,0.5,1,82,1
0,0.5,1,83,2
0,0.5,1,83,2
0,0.5,1,83,2
1,0.5,1,83,2
0,0.5,1,83,1
0,0.5,1,83,1
0,0.5,1,83,1
1,0.5,1,83,1
0,-0.5,2,84,2
1,0.5,2,84,2
0,0.5,2,84,2
0,0.5,2,84,2
0,0.5,2,84,2
0,0.5,2,84,2
0,-0.5,2,85,2
1,-0.5,2,85,1
0,0.5,2,85,1
1,-0.5,2,86,2
1,-0.5,2,86,2
0,-0.5,2,88,1
0,0.5,2,88,2
0,-0.5,2,88,2
0,0.5,2,89,1
0,0.5,2,89,1
0,0.5,2,90,2
0,-0.5,2,90,2
0,0.5,2,90,2
0,0.5,2,90,2
0,0.5,2,90,2
0,-0.5,2,91,2
0,-0.5,2,91,1
1,-0.5,2,91,1
1,-0.5,2,92,2
0,-0.5,2,92,2
1,-0.5,2,92,2
0,0.5,2,95,1
0,0.5,2,96,1
0,-0.5,2,96,1
0,-0.5,2,97,1
1,-0.5,2,97,1
0,0.5,2,98,2
0,-0.5,2,98,2
0,0.5,2,98,2
0,-0.5,2,99,1
0,0.5,2,99,2
1,-0.5,2,100,1
1,-0.5,2,100,2
1,-0.5,2,101,1
0,0.5,2,101,2
1,-0.5,2,103,1
0,0.5,2,103,2
0,0.5,2,104,2
0,0.5,2,104,2
0,0.5,2,105,1
1,-0.5,2,105,2
0,0.5,2,106,2
1,-0.5,2,106,1
1,-0.5,2,106,2
0,0.5,2,106,2
1,-0.5,2,106,1
0,-0.5,2,107,2
0,0.5,2,109,1
0,0.5,2,113,1
